Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
0,0,0,0,0,0,0,0,12.969,0.139,4.094345,-0.832909,20.76,1.723,1.94591,-2.496741,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,15.3,0.139,4.077537,-0.849716,20.378,2.066,1.791759,-2.650892,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.99,0.147,4.060443,-0.866811,22.263,2.444,1.609438,-2.833213,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.102,0.155,4.043051,-0.884202,21.454,2.808,1.386294,-3.056357,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.985,0.165,4.025352,-0.901902,22.2,4.383,1.098612,-3.344039,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.542,0.167,4.007333,-0.91992,19.712,5.218,0.693147,-3.749504,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.122,0.172,3.988984,-0.93827,23.005,16.816,0,-4.442651,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.659,0.172,3.970292,-0.956962,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.819,0.172,3.951244,-0.97601,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,17.068,0.179,3.931826,-0.995428,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.473,0.196,3.912023,-1.015231,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,15.336,0.202,3.89182,-1.035433,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,16.057,0.216,3.871201,-1.056053,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.999,0.219,3.850148,-1.077106,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,17.083,0.223,3.828641,-1.098612,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.683,0.228,3.806662,-1.120591,0,0,0,0,0,0,0,0,0,0,0,0,,,
