Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
0,0,0,0,0,0,0,0,12.129,0.276,3.89182,-0.975714,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.035,0.313,3.871201,-0.996333,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.839,0.316,3.850148,-1.017387,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.572,0.338,3.828641,-1.038893,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9.766,0.36,3.806662,-1.060872,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9.222,0.377,3.78419,-1.083345,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.491,0.393,3.7612,-1.106334,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9.944,0.394,3.73767,-1.129865,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9.787,0.43,3.713572,-1.153962,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.223,0.449,3.688879,-1.178655,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.153,0.496,3.663562,-1.203973,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.683,0.521,3.637586,-1.229948,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.349,0.646,3.610918,-1.256617,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.274,0.674,3.583519,-1.284016,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9.723,0.768,3.555348,-1.312186,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.95,0.774,3.526361,-1.341174,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9.958,0.776,3.496508,-1.371027,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.768,0.799,3.465736,-1.401799,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.295,0.801,3.433987,-1.433547,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.7,0.844,3.401197,-1.466337,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.2,0.89,3.367296,-1.500239,0,0,0,0,0,0,0,0,0,0,0,0
