Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
0,0,0,0,8.782,0.715,3.135494,-1.364315,12.861,0.15,4.234107,-0.678548,15.962,0.057,4.465908,-0.571044,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.817,0.716,3.091042,-1.408767,11.676,0.152,4.219508,-0.693147,18.283,0.062,4.454347,-0.582605,0,0,0,0,0,0,0,0,,,
0,0,0,0,5.404,0.752,3.044522,-1.455287,13.417,0.163,4.204693,-0.707962,19.563,0.062,4.442651,-0.594301,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.289,0.899,2.995732,-1.504077,11.916,0.166,4.189655,-0.723,19.78,0.062,4.430817,-0.606136,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.184,0.925,2.944439,-1.555371,14.075,0.171,4.174387,-0.738268,17.118,0.063,4.418841,-0.618112,0,0,0,0,0,0,0,0,,,
0,0,0,0,7.234,0.937,2.890372,-1.609438,14.926,0.173,4.158883,-0.753772,18.782,0.063,4.406719,-0.630233,0,0,0,0,0,0,0,0,,,
0,0,0,0,6.161,1.115,2.833213,-1.666596,15.216,0.176,4.143135,-0.76952,16.297,0.064,4.394449,-0.642503,0,0,0,0,0,0,0,0,,,
0,0,0,0,8.757,1.291,2.772589,-1.727221,14.414,0.177,4.127134,-0.785521,16.194,0.065,4.382027,-0.654926,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.19,1.327,2.70805,-1.791759,14.167,0.188,4.110874,-0.801781,17.132,0.067,4.369448,-0.667505,0,0,0,0,0,0,0,0,,,
0,0,0,0,6.433,1.474,2.639057,-1.860752,14.973,0.188,4.094345,-0.81831,17.814,0.071,4.356709,-0.680244,0,0,0,0,0,0,0,0,,,
0,0,0,0,8.746,1.496,2.564949,-1.93486,14.172,0.19,4.077537,-0.835117,15.605,0.072,4.343805,-0.693147,0,0,0,0,0,0,0,0,,,
